,Unnamed: 0,代碼,公司名稱
941,294,6177,十全
942,295,6178,振遠
943,296,6179,世仰
944,297,6180,橘子
945,298,6181,宇詮
946,299,6182,合晶
947,300,6183,關貿
948,301,6184,大豐電
949,302,6185,幃翔
950,303,6186,晶磊
951,304,6187,萬潤
952,305,6188,廣明
953,306,6189,豐藝
954,307,6190,萬泰科技
955,308,6191,信元
956,309,6192,巨路
957,310,6193,洪氏英
958,311,6194,育富
959,312,6195,旭展
960,313,6196,帆宣
961,314,6197,佳必琪
962,315,6198,凌泰科技
963,316,6199,精威
964,317,6201,亞弘電
965,318,6202,盛群
966,319,6203,海韻電
967,320,6204,艾華
968,321,6205,詮欣
969,322,6206,飛捷
970,323,6207,雷科
971,324,6208,日揚
972,325,6209,今國光
973,326,6210,慶生
974,327,6211,福登
975,328,6212,理銘
976,329,6213,聯茂
977,330,6214,精誠
978,331,6215,和椿
979,332,6216,居易
980,333,6217,中探針
981,334,6218,豪勉
982,335,6219,視達
983,336,6220,岳豐
984,337,6221,晉泰
985,338,6222,上揚
986,339,6223,旺矽
987,340,6224,聚鼎
988,341,6225,天瀚
989,342,6226,光鼎
990,343,6227,茂綸
991,344,6228,全譜
992,345,6229,研通
993,346,6230,超眾
994,347,6231,系微
995,348,6232,仕欽
996,349,6233,旺玖
997,350,6234,高僑
998,351,6235,華孚
999,352,6236,凌越
1000,353,6237,驊訊
1001,354,6238,巨圖
1002,355,6239,力成
1003,356,6240,文魁
1004,357,6241,享承
1005,358,6242,聯豪科
1006,359,6243,迅杰
1007,360,6244,茂迪
1008,361,6245,立端
1009,362,8002,資傳
1010,363,8008,建興電子
1011,364,8009,昱昕
1012,365,8010,益和
1013,366,8011,台通
1014,367,8012,琭旦
1015,368,8014,宏廣
1016,369,5201,凱衛資訊
1017,370,5202,力新
1018,371,5203,訊連
1019,372,5204,得捷
1020,373,5205,漢康科技
1021,374,5206,經緯
1022,375,5207,飛雅
1023,376,5208,蔚華
1024,377,5209,新鼎系統
1025,378,5210,儒碩
1026,379,5211,蒙恬
1027,380,5212,凌網
1028,381,5213,捷鴻
1029,382,4903,聯光通信
1030,383,4904,遠傳
1031,384,4905,台聯電訊
1032,385,4906,正文
1033,386,4907,正華
1034,387,4908,前鼎
1035,388,4909,新復興
1036,389,4910,陽慶
1037,390,5601,台聯
1038,391,5603,陸海
1039,392,5604,中連
1040,393,5605,遠航
1041,394,5607,遠翔倉儲
1042,395,5608,四維航業
1043,396,5609,中菲行
1044,397,5801,建弘投信
1045,398,5810,泛亞銀
1046,399,5817,日盛銀行
1047,400,5818,僑銀
1048,401,5819,玉山票券
1049,402,5820,日盛金
1050,403,5006,高鋁
1051,404,5007,三星
1052,405,5009,榮剛
1053,406,5011,久陽
1054,407,5013,強新
1055,408,5014,建錩實業
1056,409,5015,華祺工業
1057,410,5016,松和
1058,411,5017,新泰伸
1059,412,4609,唐鋒
1060,413,4502,源恆
1061,414,4503,金雨
1062,415,4506,崇友
1063,416,4510,高鋒
1064,417,4513,福裕
1065,418,4522,大寶
1066,419,4523,永彰
1067,420,4526,東台
1068,421,4527,方土霖
1069,422,4528,江興鍛壓
1070,423,4529,力武
1071,424,4530,宏易
1072,425,4532,瑞智
1073,426,4533,協易機
1074,427,4534,三林
1075,428,4535,至興
1076,429,4205,恆義
1077,430,4207,環泰
